subj,stage,stageday,GroupCount,mean_x,mean_y,last10days
rat10,5,1,30,9,0.9,8
rat10,5,2,30,10,0.866666666666667,9
rat10,5,3,30,11,0.966666666666668,10
rat11,5,1,30,10,1,3
rat11,5,2,30,11,1,4
rat11,5,3,30,12,0.933333333333333,5
rat11,5,4,30,13,1,6
rat11,5,5,30,14,0.966666666666668,7
rat11,5,6,30,15,0.9,8
rat11,5,7,30,16,0.966666666666668,9
rat11,5,8,30,17,0.933333333333333,10
rat12,5,1,30,7,0.8,3
rat12,5,2,30,8,0.933333333333333,4
rat12,5,3,30,9,0.866666666666667,5
rat12,5,4,30,10,0.966666666666668,6
rat12,5,5,30,11,0.966666666666668,7
rat12,5,6,30,12,0.933333333333333,8
rat12,5,7,30,13,0.966666666666668,9
rat12,5,8,30,14,1,10
rat13,5,1,30,6,0.678571428571429,3
rat13,5,2,30,7,0.689655172413793,4
rat13,5,3,30,8,0.862068965517241,5
rat13,5,4,30,9,0.6,6
rat13,5,5,30,10,0.666666666666668,7
rat13,5,6,30,11,0.766666666666667,8
rat13,5,7,30,12,0.758620689655172,9
rat13,5,8,30,13,0.766666666666667,10
rat15,5,1,30,10,0.866666666666667,NaN
rat15,5,2,30,11,0.866666666666667,NaN
rat15,5,3,30,12,0.793103448275862,NaN
rat15,5,4,30,13,1,1
rat15,5,5,30,14,0.966666666666668,2
rat15,5,6,30,15,0.933333333333333,3
rat15,5,7,30,16,0.9,4
rat15,5,8,30,17,1,5
rat15,5,9,30,18,0.966666666666668,6
rat15,5,10,30,19,1,7
rat15,5,11,30,20,0.966666666666668,8
rat15,5,12,30,21,1,9
rat15,5,13,30,22,0.933333333333333,10
rat16,5,1,30,12,0.533333333333333,NaN
rat16,5,2,30,13,0.655172413793103,NaN
rat16,5,3,30,14,0.8,NaN
rat16,5,4,30,15,0.766666666666667,NaN
rat16,5,5,30,16,0.9,NaN
rat16,5,6,30,17,0.93103448275862,NaN
rat16,5,7,30,18,0.833333333333332,1
rat16,5,8,30,19,0.933333333333333,2
rat16,5,9,30,20,0.966666666666668,3
rat16,5,10,30,21,0.866666666666667,4
rat16,5,11,30,22,0.833333333333332,5
rat16,5,12,30,23,0.933333333333333,6
rat16,5,13,30,24,0.93103448275862,7
rat16,5,14,30,25,0.933333333333333,8
rat16,5,15,30,26,0.9,9
rat16,5,16,30,27,1,10
rat2,5,1,30,5,0.833333333333332,NaN
rat2,5,2,30,6,0.92857142857143,NaN
rat2,5,3,30,7,0.8,1
rat2,5,4,30,8,0.9,2
rat2,5,5,30,9,0.866666666666667,3
rat2,5,6,30,10,0.96551724137931,4
rat2,5,7,30,11,0.966666666666668,5
rat2,5,8,30,12,0.966666666666668,6
rat2,5,9,30,13,0.966666666666668,7
rat2,5,10,30,14,0.966666666666668,8
rat2,5,11,30,15,0.9,9
rat2,5,12,30,16,1,10
rat3,5,1,30,15,0.344827586206897,NaN
rat3,5,2,30,16,0.25,NaN
rat3,5,3,30,17,0.230769230769231,1
rat3,5,4,30,18,0.433333333333333,2
rat3,5,5,30,19,0.703703703703704,3
rat3,5,6,30,20,0.566666666666667,4
rat3,5,7,30,21,0.482758620689655,5
rat3,5,8,30,22,0.566666666666667,6
rat3,5,9,30,23,0.642857142857143,7
rat3,5,10,30,24,0.8,8
rat3,5,11,30,25,0.833333333333332,9
rat3,5,12,30,26,0.9,10
rat4,5,1,30,12,0.9,NaN
rat4,5,2,30,13,0.866666666666667,NaN
rat4,5,3,30,14,0.933333333333333,1
rat4,5,4,30,15,0.966666666666668,2
rat4,5,5,30,16,0.933333333333333,3
rat4,5,6,30,17,0.966666666666668,4
rat4,5,7,30,18,0.866666666666667,5
rat4,5,8,30,19,0.8,6
rat4,5,9,30,20,0.833333333333332,7
rat4,5,10,30,21,0.96551724137931,8
rat4,5,11,30,22,1,9
rat4,5,12,30,23,0.933333333333333,10
rat5,5,1,30,12,0.5,NaN
rat5,5,2,30,13,0.586206896551724,NaN
rat5,5,3,30,14,0.482758620689655,NaN
rat5,5,4,30,15,0.533333333333333,NaN
rat5,5,5,30,16,0.7,NaN
rat5,5,6,30,17,0.8,NaN
rat5,5,7,30,18,0.9,NaN
rat5,5,8,30,19,0.666666666666668,1
rat5,5,9,30,20,0.933333333333333,2
rat5,5,10,30,21,0.733333333333333,3
rat5,5,11,30,22,0.866666666666667,4
rat5,5,12,30,23,0.833333333333332,5
rat5,5,13,30,24,0.9,6
rat5,5,14,30,25,1,7
rat5,5,15,30,26,0.933333333333333,8
rat5,5,16,30,27,0.933333333333333,9
rat5,5,17,30,28,1,10
rat6,5,1,30,9,0.7,NaN
rat6,5,2,30,10,0.733333333333333,NaN
rat6,5,3,30,11,0.833333333333332,1
rat6,5,4,30,12,0.6,2
rat6,5,5,30,13,0.733333333333333,3
rat6,5,6,30,14,0.8,4
rat6,5,7,30,15,0.793103448275862,5
rat6,5,8,30,16,0.793103448275862,6
rat6,5,9,30,17,0.8,7
rat6,5,10,30,18,0.758620689655172,8
rat6,5,11,30,19,0.7,9
rat6,5,12,30,20,0.733333333333333,10
rat7,5,1,30,9,0.533333333333333,NaN
rat7,5,2,30,10,0.793103448275862,NaN
rat7,5,3,30,11,0.8,1
rat7,5,4,30,12,0.9,2
rat7,5,5,30,13,0.833333333333332,3
rat7,5,6,30,14,0.866666666666667,4
rat7,5,7,30,15,0.93103448275862,5
rat7,5,8,30,16,0.833333333333332,6
rat7,5,9,30,17,0.666666666666668,7
rat7,5,10,30,18,0.933333333333333,8
rat7,5,11,30,19,0.933333333333333,9
rat7,5,12,30,20,0.833333333333332,10
rat8,5,1,30,12,0.9,NaN
rat8,5,2,30,13,0.966666666666668,NaN
rat8,5,3,30,14,0.9,NaN
rat8,5,4,30,15,0.966666666666668,NaN
rat8,5,5,30,16,0.966666666666668,NaN
rat8,5,6,30,17,0.933333333333333,NaN
rat8,5,7,30,18,1,NaN
rat8,5,8,30,19,1,NaN
rat8,5,9,30,20,0.933333333333333,NaN
rat8,5,10,30,21,0.933333333333333,NaN
rat8,5,11,30,22,0.9,1
rat8,5,12,30,23,1,2
rat8,5,13,30,24,0.933333333333333,3
rat8,5,14,30,25,0.933333333333333,4
rat8,5,15,30,26,0.966666666666668,5
rat8,5,16,30,27,1,6
rat8,5,17,30,28,1,7
rat8,5,18,30,29,0.966666666666668,8
rat8,5,19,30,30,0.896551724137931,9
rat8,5,20,30,31,0.966666666666668,10
rat9,5,1,30,10,0.533333333333333,NaN
rat9,5,2,30,11,0.566666666666667,NaN
rat9,5,3,30,12,0.766666666666667,NaN
rat9,5,4,30,13,0.833333333333332,NaN
rat9,5,5,30,14,0.833333333333332,NaN
rat9,5,6,30,15,0.833333333333332,NaN
rat9,5,7,30,16,0.793103448275862,1
rat9,5,8,30,17,0.8,2
rat9,5,9,30,18,0.866666666666667,3
rat9,5,10,30,19,0.433333333333333,4
rat9,5,11,30,20,0.833333333333332,5
rat9,5,12,30,21,0.966666666666668,6
rat9,5,13,30,22,0.866666666666667,7
rat9,5,14,30,23,0.966666666666668,8
rat9,5,15,30,24,1,9
rat9,5,16,30,25,0.966666666666668,10
